"Name","Address","City","State","Zip","Local Phone","Phone #2","E-Mail","category","type"
"Go Mini's of Huntsiville",,"Huntsville","AL",,"256-881--2800","866-466-4647","storage@knology.net","Storage","Mobile Storage"
"Go Mini's  of Mobile",,"Mobile","AL",,"251-338-8945","251-338-6649","hlewis@spacesaver.com","Storage","Mobile Storage"
"Go Mini's of Phenix City",,"Columbus","GA",,"706-689-0533","866-689-0533","jporter@livingstonestoragetransfer.com","Storage","Mobile Storage"
"Go Mini's of Phoenix",,"Mesa","AZ",,"480-456-6464","480-456-6464","phoenix@gominis.com","Storage","Mobile Storage"
"Go Mini's of Tuscon",,"Yuscon","AZ",,"520-918-3333","520-918-3333","SVazquez@gominis.com","Storage","Mobile Storage"
"Go Mini's of Northwest Arkansas",,"Fayetteville","AK",,"479-442-4631","866-478-6464","r_lambert@premiernwa.com","Storage","Mobile Storage"
"Go Mini's (Little Rock)",,"Little Rock","AK",,"501-374-1052","866-466-4647","Ryarbro001@aol.com","Storage","Mobile Storage"
"Go Mini's of Memphis & East Arkansas",,"Memphis","TN",,"901-546-7546","866-466-4647","brad@wgbarron.com","Storage","Mobile Storage"
"Go Mini's (Alameda) McCollister's Transportation Systems, Inc.",,"Alameda","CA",,"N/A","866-886-6464","california5@gominis.com","Storage","Mobile Storage"
"Go Mini's of Fontana",,"Fontana","CA",,"N/A","866-886-6464","gominis@mcollisters.com","Storage","Mobile Storage"
"Go Mini's of Livermore",,"Livermore","CA",,"N/A","800-272-0786","bamms@gominis.com ","Storage","Mobile Storage"
"Go Mini's of Los Angeles / Los Angeles North & West",,"Los Angeles","CA",,"805-577-0332","888-899-6464","info@gominisca.com","Storage","Mobile Storage"
"Go Mini's of Menlo Park",,"Menlo Park","CA",,"N/A","866-421-6464","sales@bayareagominis.com","Storage","Mobile Storage"
"Go Mini's of San Jose",,"San Jose","CA",,"N/A","866-886-6464","california4@gominis.com","Storage","Mobile Storage"
"Go Mini's of Santa Barbara & Ventura County",,"Ventura","CA",,"805-577-0332","805-577-0332","info@gominisca.com ","Storage","Mobile Storage"
"Go Mini's (Santa Cruz)",,,"CA",,"N/A","866-886-6464","california6@gominis.com","Storage","Mobile Storage"
"Go Mini's of Colorado Springs",,"Colorado Springs","CO",,"719-591-6464","888-648-6464","LG2mini@gmail.com","Storage","Mobile Storage"
"Go Mini's of Fairfield",,"Fairfield","CT",,"N/A","877-881-5080","fairfield@gominis.com ","Storage","Mobile Storage"
