"Customer Name","Customer Code","Address 1","Address 2","City","State","Zip","Ad Source","Phone","Target","Ad Cost","Cost Base","Start Date","End Date"
"A Lotta Storage - Blythe","25538-27","null",,"null","CA",92225,"Online Listing","(760) 854-4560 ","(760) 922-8707 ",$0.00,"n/a",05/18/11,05/17/17
"A Lotta Storage - Blythe","25538-27","null",,"null","CA",92225,"Online Listing","none defined ","none defined ",$0.00,"n/a",05/18/11,"05/17/2017
"
"A Lotta Storage - Fort Mohave","25538-21","null",,"null","AZ",86426,"Online Listing","(928) 788-0847 ","(928) 704-1919 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"A Lotta Storage - Marana","25538-22","null",,"null","AZ",85743,"Online Listing","(520) 395-9204 ","(520) 572-8881 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"A Lotta Storage - San Jacinto","25538-34","null",,"null","CA","null","Online Listing","(951) 402-2654 ","(951) 487-9697 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"A Lotta Storage - Tuscon","25538-15","null",,"null","AZ",85713,"Online Listing","(520) 395-9208 ","(520) 622-3399 ",$0.00,"n/a",05/18/11,"05/17/2017
"
"A Storage Place","3583417","null",,"null","AL","null","Listing","(951) 817-7377 ","(951) 509-9469 ",$0.00,"n/a",03/08/11,"03/07/2017
"
"A Storage Place Barton Road","3583414","null",,"null","AL","null","Listing","(909) 743-6009 ","(909) 796-4447 ",$0.00,"n/a",03/08/11,"03/07/2017
"
"A Storage Place Magnolia","3583418","null",,"null","AL","null","Listing","(951) 808-5220 ","(951) 371-2007 ",$0.00,"n/a",03/08/11,"03/07/2017
"
"A Storage Place Yucaipa","3583420","null",,"null","AL","null","Listing","(909) 891-0004 ","(909) 446-0610 ",$0.00,"n/a",03/08/11,"03/07/2017
"
"AAA Self Storage","3595432","null",,"null","AL","null","Listing","(336) 790-3805 ","(336) 852-2177 ",$0.00,"n/a",03/24/11,"03/23/2017
"
"AAAAA Rent-A-Space I","3583423","null",,"null","AL","null","Listing","(650) 276-3434 ","(650) 341-2964 ",$0.00,"n/a",03/08/11,"03/07/2017
"
"AAAAA Rent-A-Space II","3583425","null",,"null","AL","null","Listing","(888) 547-5895 ","(808) 669-5200 ",$0.00,"n/a",03/08/11,"03/07/2017
"
"AAAAA Rent-A-Space III","3583426","null",,"null","AL","null","Listing","(925) 231-1445 ","(925) 631-7000 ",$0.00,"n/a",03/08/11,"03/07/2017
"
