COMPANY NAME,ADDRESS,CITY,STATE,ZIP,PHONE,WEB SITE
Adept Movers, ,SAN FRANCISCO,CA,91357,8182622799, 
Affordable Movers, ,Valley Village,CA,94024,6503234660, 
Ajax Moving & Storage, ,SLOCUM,RI,2895,, 
American International Movers, ,ROSWELL,GA,30916,7067908222, 
David Menne, ,SAN DIEGO,CA,94577,5106144107, 
Deliverance Movers Services, ,PLANO,TX,77040,2819556822, 
J&M & Son's Moving, ,MIAMI,FL,33971,, 
Macy Movers, ,PENNGROVE,CA,94606,5104440100, 
Move 4 Less, ,BLANCHARD,PA,18071,6108525068, 
Move plus, ,Tarzana,CA,92121,8585879996, 
Quick Movers, ,CANOGA PARK,CA,90037,3234664662, 
RC Mobile Home Movers, ,Winter Garden,FL,32501,8504798704, 
Speedy Gonzalez Delivery & Moving Services, ,Jacob,FL,33060,9549718655, 
WATERS MOVING, ,LOS ANGELES,CA,94553,9252287516, 
Young Strong Movers, ,PLAYA DEL REY,CA,91357,8184945586, 
Fitness on the Move,0416 W San Ysidro Blvd #L,SAN PABLO,CA,92124,8586891147, 
Van Go Moving,100 Factory Street #C,EAST DERRY,NH,3852,8882079747, 
Bay Area Moving & Storage,1026 Lick Ave  San Jose,VISALIA,CA,95112,4085318011, 
Power Movers,1045 SE Third St,LAKE OSWEGO,OR,97005,3067500068, 
THRIFTY MOVING,1060 Oak Grove RD #6,ALBANY,CA,94517,19257985309, 
Wes-Tex Moving & Storage,10807 West I10,HOUSTON,TX,76903,9156550147, 
All Points Moving Systems Inc,1100 Loln Rd East,SAN RAFAEL,CA,94589,7076448913, 
Century All Moves,11021 Shoshone Avenue,BURBANK,CA,91344,8184910154, 
Best Way Moving & Storage,1116 SW 15th Terrace # 2,Miami,FL,33324,3058617972, 
Capitol City Movers,1120 W Bristol St,Elkhart,IN,47336,7657689971, 
Hawkeye Movers,1121 Central Avenue,CHARLES CITY,IA,52213,3193648018, 
Right On Time Movers,11255 Vanowen Street,North Hollywood,CA,91605,8187530804, 
Moviola,1135 N Mansfield Ave,LOS ANGELES,CA,90037,3104633502, 
Movers Services,11605 W Pico Blvd 1/4 2nd floor,LA MIRADA,CA,90064,3103051100, 
A Way To Move,116A Barranca Ave,LOS ANGELES,CA,92625,7149578984, 
A A A Northern Van Lines,11705 Roberts Glen Court,REISTERSTOWN,MD,20747,3017360616, 
Mikey's Apartments Movers,1201W Church St,BEDFORD,TX,75067,, 
Robert Viloria,12092 Adrian St #5202,SAN FRANCISCO,CA,92838,7145376195, 
Johnson and Daly Moving,124 Belvedere St,SAN RAFAEL,CA,94901,4154914444, 
Allied Van Lines Agents,1250 Texas St,ANTIOCH,CA,94509,9257572771, 
Metrolina Moving & Storage Estimates,1253 Colony Drive,RALEIGH,NC,28117,, 
Tomcat Moving Hauling,1255 Harbor Bay Parkway,WALNUT CREEK,CA,94501,5108641900, 
U-JAM Spirit Movers,126 Elder Avenue,ROCKLIN,CA,92251,7603663766, 
ByteMover,126 Morton Drive,POMONA,CA,94014,6509921925, 
Deathwish Piano Movers,127 Smith Place,Cambridge,MA,2445,6172778311, 
Uban Move,12711 Bonaparte Ave,LOS ANGELES,CA,90024,3104459398, 
Sannah Van Lines,12832 Valley View St Suite 205,SAN DIEGO,CA,92840,7148216005, 
A Budget Movers,12881 Knott StreetSuite 226,GARDEN GROVE,CA,92840,7148910593, 
Move Your Paws,130 Coolwater Ln,SANTA ANA,CA,92312,9097930200, 
Banda la Movida,1300 S Pacific Coast Highway,ANAHEIM,CA,90278,15628692888, 
Frank and Bryan Worldwide Move,1301  61st Street,NEWPORT BEACH,CA,94608,5106017953, 
Door-To-Door Moving,1320 SE 25th Loop #101,EDGEWATER,FL,33160,3059495816, 
All County Moving,1347 Oak Crest Way,ALPINE,CA,94509,9257579009, 
Mike's Moving,135 Lewis Road,CHICO,CA,95133,4082865552, 
All Machinery Moving & Rigging,1350 North First St,SAN MARCOS,CA,95111,4089729395, 
Ortiz Bros Moving & Storage,1351 N Orange Drive #202,YUBA CITY,CA,90030,3232213393, 
Stephanie's Moving,14 East Main Street,JACKSONVILLE,FL,33160,, 
Angelo Movers,14 Steele Road,PINE BROOK,NJ,7304,2013690454, 
P & O Movers,1400 E 28th Street,Santa Monica,CA,90806,, 
Kiran Movva,141 Golf Club Road,RANDSBURG,CA,94522,9253702195, 
Seaboard Movers,14137 Gain Street,Pacoima,CA,91331,8188916121, 
Allegro Machinery Moving,1420 N Claremont Blvd #200B,PALM DESERT,CA,91710,9095909967, 
Gardener's Moving & Storage,14209 Kittridge St  Van Nuys,CONCORD,CA,91405,3105508593, 
Acme Moving William R Vinson,14500 Palm Drive,LA MIRADA,CA,92240,7603221366, 
United Moving & Storage,1499 W Palmetto Park Rd #314,RICHMOND,CA,94804,5102322500, 
Al's Mini Moving,15111 Preston Rd Ste 230,BEAUMONT,TX,78242,, 
