COMPANY NAME,WEB ADDRESS,ADDRESS,CITY,STATE, ZIP CODE,PHONE NUMBER,LAST NAME,FIRST NAME,CONTACT TITLE,PRIMARY SIC DESCRIPTION
Anderson's Mini Storage,,1706 Santa Fe Dr,Weatherford,TX,76086-6420,8175995522,Anderson,Randall H,Owner,Accountants
Country Club Storage,,118 E Country Club Rd,Roswell,NM,88201-6521,5756251111,Cooper,Martin B,Owner,Accountants
Plaza De Los Alamos Mini Stge,,550 E Cottonwood Ln # C,Casa Grande,AZ,85122-2055,5208363048,Sarnowski,Tim,Owner,Accountants
Pasadena Moving Ctr,www.uhaul.com,552 S Raymond Ave,Pasadena,CA,91105-2612,6267956888,Centers,Ann,Manager,Truck Renting & Leasing,,
Brothers Moving & Storage,www.brothersmoving.com,125 N 61st Ave,Phoenix,AZ,85043-3541,6022765000,,,,Storage-Household & Commercial,,
Atlas Van Lines,www.atlasworldgroup.com,131 Perry Dr NW,Canton,OH,44708-5048,3307840477,Stephens,Gregory,Manager,Storage-Household & Commercial,,
Security Public Storage,www.uhaul.com,1501 S Coast Hwy,Oceanside,CA,92054-5356,7607222465,Williams,Gloria,Site Manager,Truck Renting & Leasing,,
Simply Self Storage,www.simplyss.com,1361 Airport Rd S,Naples,FL,34104-4356,2395307867,Hallock,Amy,Site Manager,Truck Renting & Leasing,,
U-Haul Co,www.uhaul.com,499 Montgomery St,Chicopee,MA,01020-1963,4135353037,Martin,Nicholas,Site Manager,Truck Renting & Leasing,,
U-Haul Co,www.uhaul.com,250 Appleton St,Holyoke,MA,01040-4934,4135399261,Wells,Marty,Site Manager,Truck Renting & Leasing,,
U-Haul Co,www.uhaul.com,914 Boston Rd,Springfield,MA,01119-1316,4137830973,O'Leary,Moira,Site Manager,Truck Renting & Leasing,,
U-Haul Co,www.uhaul.com,79 Fitchburg Rd,Ayer,MA,01432-1003,9787726802,Chamberlain,Andrea,Site Manager,Truck Renting & Leasing,,
B & J Mini Storage,,109 1/2 W Glaydas St,Hooker,OK,73945 0000,5806523251,Bostwick,James D,Owner,Accountants
Bagdad Mini Warehouses & Rv,,4065 Garcon Point Rd,Milton,FL,32583-9027,8506265858,O'Neil,B,Owner,Accountants
Edminston Mini Storage,,280 Boone Trl,North Wilkesboro,NC,28659-8991,3366673550,Edminston,Robert,Owner,Accountants
A A Storage Of Highlands Cnty,,3214 Spinks Rd,Sebring,FL,33870-4362,8633829700,Simmons,Betty,Owner,Accounting & Bookkeeping General Svc
