Searsport Self Storage,,149 E Main St,Searsport,ME,04974-3321,2075482640,Oakes,David,Manager,Antiques-Dealers,,
Sir Richard's Selfstorage,,3487 Waterbury-Stowe Rd,Waterbury Center,VT,05677-8017,8022448879,Woodard,Richard,Owner,Antiques-Dealers,,
Bordentown Self Storage,,1025 US Highway 206,Bordentown,NJ,08505-2113,6093247440,Goldman,Jeffrey,Owner,Attorneys,,
Eagle Storage,,221 Knox Marsh Rd,Dover,NH,03820-5494,6037507500,Comeau,Liz,Manager,Boxes-Corrugated & Fiber (Whls),,
Ideal Movers & Storage,www.idealmovers.com,10 Mill Valley Rd,Hadley,MA,01035-9571,4135844746,Banas,Brent,Owner,Boxes-Corrugated & Fiber (Whls),,
Hopewell Valley Self Storage,www.uhaul.com,81 Route 31 N,Pennington,NJ,08534-3601,6097309813,Watson,Whitney,President,Boxes-Corrugated & Fiber (Whls),,
Simply Self Storage,www.simplyss.com,289 US Highway 9,Englishtown,NJ,07726-8254,7328669100,Cummings,Sylvester,Manager,Boxes-Corrugated & Fiber (Whls),,
Storage Pros,,458 Fortune Blvd,Milford,MA,01757-1722,5084735701,Mueller,Bonnie,Manager,Boxes-Corrugated & Fiber (Whls),,
Arnoff Moving & Storage,www.navl.com,210 Main St,Great Barrington,MA,01230-1605,4135284476,Levy,Peter,Vice President,Boxes-Specialty & Fancy (Whls),,
Iron Mountain,www.ironmountain.com,203 Moonachie Rd,Moonachie,NJ,07074-1309,2018070100,,,,Business Records & Documents-Storage,,
Northeast Record Retention,www.nerecordretention.com,101 West River Rd,Hooksett,NH,03106-2626,6036266667,Bourrie,Lisa,Manager,Business Records & Documents-Storage,,
Access Self Storage,,217 Belmont Ave,Haledon,NJ,07508-1403,9737900340,Wolcott,Richard,Manager,Business Records & Documents-Storage,,
All American Self Storage,www.allamericanselfstorage.com,255 Hampstead St,Methuen,MA,01844-1235,9786829800,Malhotra,Raj,Owner,Business Records & Documents-Storage,,
Apponaug Mini-Storage,,111 Meadow St,Warwick,RI,02886-6908,4017323535,Mimande,Mariann,Manager,Business Records & Documents-Storage,,
Longwood Storage Inc,www.longwoodstoragecompany.com,5 Station St,Brookline,MA,02445-7903,6172779500,Pave,Vladimir,Owner,Business Records & Documents-Storage,,
Waterville Self-Storage Inc,,3 Aviation Way,Waterville,ME,04901-4550,2078731234,Murray,Bruce,Owner,Business Records & Documents-Storage,,
Wise Way Self Storage,,880 W Central St,Franklin,MA,02038-3153,5085288468,Wise,Frederick,Owner,Controls Control Systs/Regulators (Whls),,
Bosco Container,,62 Everett St,Westwood,MA,02090-1804,6174693880,Mckeeney,Daniel,Owner,Crane Service,,
American Container Corp Inc,,4 Mills Rd,Newcastle,ME,04553-3407,2075499009,Plourde Jr,Roger,President,Garbage Collection,,
E Z Container Svc Inc,,1 Market Pl # 14,Essex Junction,VT,05452-2943,8028781255,Tetrault,Michael,Owner,Garbage Collection,,
AAA Bargain Moving & Storage,,8 Riverbend Dr,Stamford,CT,06907-2623,2033276683,Pelli,Dom,Owner,Movers,,
